features,coef,std err,t,P>|t|,[0.025,0.975]
tvd (ft),    0.4592,    0.052,    8.759, 0.000,    0.356,    0.562
well spacing,    0.0758,    0.031,    2.428, 0.015,    0.014,    0.137
log permeability, -300.4283,  145.736,   -2.061, 0.040, -586.633,  -14.223
porosity,-4302.5718, 2286.406,   -1.882, 0.060,-8792.755,  187.611
poisson ratio, 8105.0813, 2176.692,    3.724, 0.000, 3830.362, 1.24e+04
p-velocity,   -0.4963,    0.085,   -5.841, 0.000,   -0.663,   -0.329
s-velocity,    2.0642,    0.334,    6.175, 0.000,    1.408,    2.721
youngs modulus, -566.1183,   71.376,   -7.932, 0.000, -706.290, -425.947
total number of stages,   17.3564,    4.400,    3.945, 0.000,    8.716,   25.997
proppant volume, 8.879e-05, 1.07e-05,    8.310, 0.000, 6.78e-05,    0.000
date_sec, 2.911e-06, 6.54e-07,    4.453, 0.000, 1.63e-06,  4.2e-06
